bhk,type,locality,area,price,price_unit,region,status,age
3,Apartment,Lak And Hanware The Residency Tower,685,2.5,Cr,Andheri West,Ready to move,New
2,Apartment,Radheya Sai Enclave Building No 2,640,52.51,L,Naigaon East,Under Construction,New
2,Apartment,Romell Serene,610,1.73,Cr,Borivali West,Under Construction,New
2,Apartment,Soundlines Codename Urban Rainforest,876,59.98,L,Panvel,Under Construction,New
2,Apartment,Origin Oriana,659,94.11,L,Mira Road East,Under Construction,New
2,Apartment,Bhoomi Simana Wing A Phase 1,826,3.3,Cr,Parel,Under Construction,New
5,Villa,Agami Estancia,2921,1.99,Cr,Boisar,Under Construction,New
3,Apartment,Sanghvi Infenia,778,2.89,Cr,Santacruz East,Under Construction,New
1,Apartment,Shubh Shreeji Heights,396,29.84,L,Badlapur East,Ready to move,New
2,Apartment,Aplite Greenstone Heritage,671,2.72,Cr,Fort,Under Construction,New
1,Studio Apartment,A Plus Golden Corner,502,16.56,L,Badlapur West,Under Construction,New
2,Apartment,Unimont Imperia,950,41.75,L,Khopoli,Under Construction,New
3,Apartment,Aayush Gulmohar,753,1.77,Cr,Chembur,Under Construction,New
2,Apartment,Roswalt Zaiden,605,1.55,Cr,Jogeshwari West,Under Construction,New
1,Apartment,Angel Falcon Emerald Dunlin,557,58.5,L,Vasai,Under Construction,New
2,Apartment,Proviso Sai Proviso Icon Greater Kharghar Roadpali,635,83,L,Kalamboli,Under Construction,New
1,Apartment,Godrej Urban Park,450,1.39,Cr,Powai,Under Construction,New
3,Apartment,Aurum Q Island R4 AND R5,1259,2.8,Cr,Ghansoli,Ready to move,New
2,Apartment,Raymond Raymond Realty TenX Habitat,555,1.42,Cr,Thane West,Under Construction,New
3,Apartment,Asshna Seabliss,1274,4.2,Cr,Andheri West,Under Construction,New
2,Apartment,Mayfair The View,582,1.49,Cr,Vikhroli,Under Construction,New
1,Apartment,Shakti Shree Siddhivinayak II,483,37.52,L,Bhiwandi,Under Construction,New
1,Apartment,Vardhan Heights,320,69.9,L,Chembur,Under Construction,New
1,Apartment,Puraniks Unicorn Phase 1,396,42.99,L,Thane West,Under Construction,New
2,Apartment,Pyramid Elements,638,1.26,Cr,Airoli,Under Construction,New
2,Apartment,Tharwani Meghna Montana,1047,49.58,L,Ambernath West,Under Construction,New
2,Apartment,Dev Drashti Empire Phase 1,1080,57.24,L,Bhiwandi,Ready to move,New
2,Apartment,B G Shirke Monte Verita West Tower,555,1.31,Cr,Borivali East,Under Construction,New
1,Apartment,Jindal Avenue,261,47.5,L,Panvel,Under Construction,New
2,Apartment,Walekar Homes,594,34.5,L,Ambernath West,Ready to move,New
1,Apartment,Sri Garden Avenue K,445,34.14,L,Virar,Under Construction,New
1,Apartment,Anant Residency,409,32,L,Panvel,Under Construction,New
4,Apartment,Ravechi Shreeji Divine,1874,2.7,Cr,Kharghar,Under Construction,New
1,Apartment,Shree ND Garden,450,54.99,L,Ulwe,Under Construction,New
3,Apartment,Neelkanth Auris,859,1.37,Cr,Panvel,Under Construction,New
2,Apartment,Shree Krupa Nandanvan Homes Building B,720,1.31,Cr,Thane West,Under Construction,New
1,Apartment,Tajjodin Taj Regency,404,58,L,Kamothe,Under Construction,New
2,Apartment,Avant Heritage III,604,1.44,Cr,Jogeshwari East,Under Construction,New
3,Apartment,Kalpataru Kalpataru Elitus,1116,2.85,Cr,Mulund West,Under Construction,New
1,Independent House,VBHC 47 Rowland Park,701,30.99,L,Palghar,Under Construction,New
3,Apartment,Sunteck City First Impression,902,2.59,Cr,Goregaon West,Under Construction,New
2,Apartment,Siddhivinayak Siddhivinayak Gaurav,990,45.45,L,Taloja,Under Construction,New
1,Apartment,A M Balaji Heights,313,27.56,L,Rasayani,Under Construction,New
1,Apartment,Sai Shrushti Vatika,409,30.15,L,Thane West,Under Construction,New
2,Apartment,Piramal S Class Homes,560,1.32,Cr,Mulund West,Under Construction,New
1,Apartment,Rishabraj Vicinia,448,1.34,Cr,Ghatkopar East,Under Construction,New
1,Apartment,Qualitas QN Greens Phase 1,386,27.96,L,Taloja,Ready to move,New
2,Apartment,Precious Group Precious Meadows,539,46.21,L,Ulhasnagar,Under Construction,New
3,Apartment,Today Imperia,1625,1.45,Cr,Ulwe,Ready to move,New
3,Apartment,Lak And Hanware The Residency Tower,685,2.5,Cr,Andheri West,Ready to move,New
2,Apartment,Radheya Sai Enclave Building No 2,640,52.51,L,Naigaon East,Under Construction,New
2,Apartment,Romell Serene,610,1.73,Cr,Borivali West,Under Construction,New
2,Apartment,Soundlines Codename Urban Rainforest,876,59.98,L,Panvel,Under Construction,New
2,Apartment,Origin Oriana,659,94.11,L,Mira Road East,Under Construction,New
2,Apartment,Bhoomi Simana Wing A Phase 1,826,3.3,Cr,Parel,Under Construction,New
5,Villa,Agami Estancia,2921,1.99,Cr,Boisar,Under Construction,New
3,Apartment,Sanghvi Infenia,778,2.89,Cr,Santacruz East,Under Construction,New
1,Apartment,Shubh Shreeji Heights,396,29.84,L,Badlapur East,Ready to move,New
2,Apartment,Aplite Greenstone Heritage,739,2.95,Cr,Fort,Under Construction,New
1,Apartment,A Plus Golden Corner,635,20.95,L,Badlapur West,Under Construction,New
2,Apartment,Unimont Imperia,950,41.75,L,Khopoli,Under Construction,New
3,Apartment,Aayush Gulmohar,753,1.77,Cr,Chembur,Under Construction,New
2,Apartment,Roswalt Zaiden,605,1.55,Cr,Jogeshwari West,Under Construction,New
1,Apartment,Angel Falcon Emerald Dunlin,477,51,L,Vasai,Under Construction,New
2,Apartment,Proviso Sai Proviso Icon Greater Kharghar Roadpali,635,83,L,Kalamboli,Under Construction,New
1,Apartment,Godrej Urban Park,450,1.39,Cr,Powai,Under Construction,New
3,Apartment,Aurum Q Island R4 AND R5,1259,2.8,Cr,Ghansoli,Ready to move,New
2,Apartment,Raymond Raymond Realty TenX Habitat,515,1.24,Cr,Thane West,Under Construction,New
3,Apartment,Asshna Seabliss,1274,4.2,Cr,Andheri West,Under Construction,New
2,Apartment,Mayfair The View,582,1.49,Cr,Vikhroli,Under Construction,New
2,Apartment,Shakti Shree Siddhivinayak II,720,57.07,L,Bhiwandi,Under Construction,New
1,Apartment,Vardhan Heights,320,69.9,L,Chembur,Under Construction,New
1,Apartment,Puraniks Unicorn Phase 1,396,42.99,L,Thane West,Under Construction,New
1,Apartment,Pyramid Elements,465,90,L,Airoli,Under Construction,New
2,Apartment,Tharwani Meghna Montana,1047,49.58,L,Ambernath West,Under Construction,New
2,Apartment,Dev Drashti Empire Phase 1,1080,57.24,L,Bhiwandi,Ready to move,New
2,Apartment,B G Shirke Monte Verita West Tower,555,1.31,Cr,Borivali East,Under Construction,New
1,Apartment,Jindal Avenue,261,47.49,L,Panvel,Under Construction,New
2,Apartment,Walekar Homes,528,31.5,L,Ambernath West,Ready to move,New
2,Apartment,Sri Garden Avenue K,586,45.03,L,Virar,Under Construction,New
2,Apartment,Anant Residency,563,42,L,Panvel,Under Construction,New
2,Apartment,Ravechi Shreeji Divine,990,1.51,Cr,Kharghar,Under Construction,New
2,Apartment,Neelkanth Auris,709,1.14,Cr,Panvel,Under Construction,New
4,Apartment,Shree Krupa Nandanvan Homes Building B,1300,2.54,Cr,Thane West,Under Construction,New
2,Apartment,Tajjodin Taj Regency,628,90,L,Kamothe,Under Construction,New
2,Apartment,Avant Heritage III,587,1.4,Cr,Jogeshwari East,Under Construction,New
